conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,rozwiązywać problemy techniczne,released,skill/competence,cross-sector,,Identyfikować problemy techniczne podczas obsługi urządzeń i korzystania z otoczenia cyfrowego oraz rozwiązywać problemy (od prostych do bardziej złożonych).,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996 | http://data.europa.eu/esco/skill/0b9968af-72de-470a-98e1-2d19577443fb,rozwiązywanie problemów przy wykorzystaniu narzędzi i sprzętu ICT | identyfikować problemy | rozwiązywanie problemów komputerowych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce,korzystać z e-usług,released,skill/competence,cross-sector,korzystać z usług elektronicznych | angażować się w obywatelstwo za pośrednictwem technologii cyfrowych | możliwość korzystania z e-usług | korzystaj z rozwiązań płatności online | korzystaj z e-usług | aktywność obywatelska z wykorzystaniem technologii cyfrowych,Uczestnictwo w życiu społecznym poprzez korzystanie z publicznych i prywatnych usług cyfrowych. Poszukiwanie możliwości samodzielności i obywatelskiego uczestnictwa za pomocą odpowiednich technologii cyfrowych.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,współpraca i komunikacja cyfrowa | wykorzystywanie narzędzi cyfrowych do współpracy i produktywności
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,kreatywne wykorzystanie technologii cyfrowych,released,skill/competence,cross-sector,twórcze wykorzystanie technologii cyfrowych,Wykorzystanie cyfrowych narzędzi i technologii do tworzenia wiedzy oraz innowacyjnych procesów i produktów. Wspólne i indywidualne angażowanie się w procesy kognitywne w celu zrozumienia i rozwiązania problemów koncepcyjnych i problematycznych sytuacji w środowiskach cyfrowych.,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,rozwiązywanie problemów przy wykorzystaniu narzędzi i sprzętu ICT | wykorzystywanie narzędzi cyfrowych do współpracy i produktywności
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650,"analiza danych, informacji i treści cyfrowych",released,skill/competence,cross-sector,,"Analiza, porównywanie i krytyczna ocena wiarygodności i rzetelności źródeł danych, informacji i treści cyfrowych. Analizować, interpretować i krytycznie oceniać dane, informacje i treści cyfrowe.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af,przetwarzanie danych cyfrowych | analiza i ocena informacji i danych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,programowanie komputerowe,released,knowledge,cross-sector,,"Techniki i zasady opracowywania oprogramowania, takie jak analiza, algorytmy, kodowanie, testowanie i kompilacja paradygmatów programowania (np. programowanie ukierunkowane na cel, programowanie funkcjonalne) oraz języków programowania.",http://data.europa.eu/esco/isced-f/0613,tworzenie i analizowanie oprogramowania i aplikacji
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/238343b1-7b51-42b3-a9ed-cf24d3a236e7,rozpoznawanie braków w zakresie kompetencji cyfrowych,released,skill/competence,cross-sector,,Określać obszary poprawy lub aktualizacji własnych kompetencji cyfrowych. Wspierać innych na drodze do rozwoju kompetencji cyfrowych. Poszukiwać możliwości rozwoju własnej osoby i nadążać za rozwojem technologii w ramach rewolucji cyfrowej.,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/54f7432d-a8b6-4ed4-a50e-9ec882320595,"rozwiązywanie problemów przy wykorzystaniu narzędzi i sprzętu ICT | monitorowanie, inspekcja i testowanie"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34a99f-9813-4c91-9509-b6b9b8c3132e,współpraca z wykorzystaniem technologii cyfrowych,released,skill/competence,cross-sector,współpraca w oparciu o technologie cyfrowe | współpraca z wykorzystaniem narzędzi cyfrowych,Używać cyfrowych narzędzi i technologii do procesów współpracy oraz do wspólnego budowania i tworzenia zasobów oraz wiedzy.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,współpraca i komunikacja cyfrowa | wykorzystywanie narzędzi cyfrowych do współpracy i produktywności
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb,ochrona danych osobowych i prywatności,released,skill/competence,cross-sector,,"Chronić dane osobowe i prywatność w środowisku cyfrowym. Rozumieć, jak wykorzystywać i udostępniać dane osobowe, jednocześnie chroniąc siebie i innych przed szkodami. Rozumieć, że w usługach cyfrowych stosowana jest „polityka prywatności” w celu informowania o sposobie wykorzystywania danych osobowych.",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/2b6e15f5-dfa0-4e7c-9687-5665b07e56a4,zasady bezpieczeństwa ICT | ochrona prywatności i danych osobowych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40001d93-8937-4859-89d5-2dca53290ff4,łączenie i kontakt za pomocą środków cyfrowych,released,skill/competence,cross-sector,dzielenie się informacjami i zasobami z wykorzystaniem technologii cyfrowych | dzielenie się informacjami i zasobami w środowiskach cyfrowych,"Udostępniać dane, informacje i treści cyfrowe innym osobom za pomocą odpowiednich technologii cyfrowych. Działać jako pośrednik, wiedzieć o praktykach referencji i przypisywania.",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,współpraca i komunikacja cyfrowa | wykorzystywanie narzędzi cyfrowych do współpracy i produktywności
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,zasady bezpieczeństwa ICT,released,,,,"Ochrona osobista, ochrona danych, ochrona tożsamości cyfrowej, środki bezpieczeństwa, bezpieczne i zrównoważone stosowanie.",http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,ochrona urządzeń ict
