conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,język programowania Haskell,released,knowledge,sector-specific,,"Techniki i zasady opracowywania oprogramowania, takie jak analiza, algorytmy, kodowanie, testowanie i kompilacja paradygmatów programowania w języku Haskell.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,programowanie komputerowe | tworzenie i analizowanie oprogramowania i aplikacji
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,Projektowanie wg modelu przyrostowego,released,knowledge,sector-specific,,Model rozwoju przyrostowego jest metodą opracowywania systemów oprogramowania i aplikacji.,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9 | http://data.europa.eu/esco/isced-f/0613,metodologie zarządzania projektami ICT | tworzenie i analizowanie oprogramowania i aplikacji
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,released,knowledge,sector-specific,,"Program komputerowy KDevelop jest zestawem narzędzi do opracowywania oprogramowania, takich jak kompilator, debuger, edytor kodu, główne elementy kodu, opakowanym w ujednolicony interfejs użytkownika. Jest on opracowywany przez społeczność programistów KDE.",http://data.europa.eu/esco/skill/925463a7-d51f-4d5b-9f79-4d28cf30acde | http://data.europa.eu/esco/isced-f/0612,zintegrowane środowisko programistyczne | projektowanie baz danych i sieci oraz administrowanie nimi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (systemy zarządzania nauczaniem),released,knowledge,sector-specific,,"System nauczania (Absorb) jest platformą e-learningową służącą do tworzenia, administrowania i prowadzenia e-learningowych kursów edukacyjnych lub programów szkoleniowych dla uczniów szkół średnich.",http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,systemy zarządzania nauczaniem | projektowanie baz danych i sieci oraz administrowanie nimi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01d269d9-b058-4d6c-82a0-3779af9a124b,rozwijać innowacyjne architektury łańcuchów bloków,released,skill/competence,cross-sector,buduj innowacyjne architektury blockchain,"Opracowywać nowe architektury blockchain, które uwzględniają właściwości i priorytety wymagane przez konkretne aplikacje. Wskazywać zalety i wady takich nowych architektur w odniesieniu do istniejących architektur.",http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce,opracowywanie systemów lub aplikacji ict
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,inżynieria sieci,released,knowledge,sector-specific,architektura sieciowa,"Poddziedzina technologii komputerowej, która dotyczy zarządzania łącznością sieci za pośrednictwem danych, głosu, połączeń i usług sieci bezprzewodowej.
	",http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5 | http://data.europa.eu/esco/isced-f/0714,technologia komputerowa | elektronika i automatyka
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,przenosić dane zastane,released,skill/competence,sector-specific,,"Zastosować metody migracji i konwersji istniejących danych, aby przesyłać lub konwertować dane między formatami, pamięcią masową lub systemami komputerowymi.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"zarządzanie danymi cyfrowymi, ich gromadzenie i przechowywanie"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,definiować fizyczną strukturę bazy danych,released,skill/competence,sector-specific,przygotowywać konfigurację dla fizycznej struktury bazy danych | tworzyć specyfikacje dla fizycznej struktury bazy danych | określać fizyczną strukturę bazy danych | definiować fizyczną strukturę dla baz danych | definiować fizyczną strukturę przechowania danych w bazie danych,"Określanie fizycznej konfiguracji plików bazy danych na danym nośniku. Obejmuje to szczegółowe specyfikacje opcji indeksowania, typów danych i elementów danych umieszczonych w słowniku danych.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"zarządzanie danymi cyfrowymi, ich gromadzenie i przechowywanie"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,released,knowledge,sector-specific,,"Platforma Maltego jest aplikacją sądową, która wykorzystuje eksplorację danych w celu dokonania przeglądu środowiska organizacji, sprawdzenia słabych punktów systemu pod względem zabezpieczeń w odniesieniu do potencjalnie nieupoważnionego dostępu oraz pokazuje złożoność awarii infrastruktury.",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/de586dcf-d7e5-4340-bf5b-d59026f1b436,tworzenie i analizowanie oprogramowania i aplikacji | narzędzie do testów penetracyjnych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,obsługiwać urządzenia radiowe,released,skill/competence,cross-sector,,"Konfiguracja i obsługa urządzeń radiowych i akcesoriów, takich jak konsole nadawcze, wzmacniacze i mikrofony. Rozumienie podstaw języka radiooperatora i, w razie konieczności, zapewnianie instrukcji prawidłowej obsługi sprzętu radiowego.",http://data.europa.eu/esco/skill/9bafaea2-76cd-4532-ab77-8b3d21fa6235 | http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6,koordynować zdalną komunikację | obsługa sprzętu łącznościowego
