conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,szkolić pracowników w zakresie ograniczania marnowania żywności,released,skill/competence,sector-specific,,"Wprowadzać nowe szkolenia i przepisy dotyczące kształcenia pracowników, aby poszerzać ich wiedzę w zakresie zapobiegania marnowaniu żywności oraz praktyk recyklingu żywności. Zapewniać, aby pracownicy rozumieli metody i narzędzia recyklingu żywności, np. segregowanie odpadów.
	",http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488,szkolenie w zakresie procedur operacyjnych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,opracowywać koncepcje w zakresie oszczędności energii,released,skill/competence,cross-sector,,"Wykorzystywanie bieżących wyników badań i współpraca z ekspertami w celu optymalizacji lub opracowania koncepcji, sprzętu i procesów produkcyjnych, które wymagają mniejszej ilości energii, takich jak nowe praktyki i materiały izolacyjne.",http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458 | http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c,myśleć w sposób innowacyjny | opracowywanie strategii i procedur operacyjnych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,montować pompy ciepła,released,skill/competence,cross-sector,,"Instalacja pomp ciepła wykorzystujących właściwości fizyczne substancji zwanych chłodziwami do odprowadzania ciepła ze środowiska i uwalniania go do cieplejszego otoczenia, w sposób sprzeczny ze spontanicznym przepływem ciepła. Tworzenie niezbędnych otworów i instalacja części pompy ciepła wewnątrz i na zewnątrz. Podłączanie energii elektrycznej i wszelkich przewodów oraz konfiguracja pompy ciepła.",http://data.europa.eu/esco/skill/b85caa4a-f04b-4331-80df-11404fd71225,"montaż urządzeń grzewczych, wentylacyjnych i klimatyzacyjnych"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,projektować instalacje wykorzystujące biomasę,released,skill/competence,sector-specific,,"Projektować systemy energetyczne wykorzystujące biomasę. Wyznaczać granice budowy, takie jak wymagana przestrzeń i masa. Obliczać wskaźniki, takie jak moce, przepływy i temperatury. Wykonywać szczegółowe opisy i rysunki projektów.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,opracowywanie systemów i urządzeń elektrycznych lub elektronicznych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,dbać o sprzęt do sortowania,released,skill/competence,sector-specific,,"Wykonać rutynową konserwację, a także drobne naprawy sprzętu używanego do sortowania odpadów i surowców wtórnych.",http://data.europa.eu/esco/skill/5033c2fb-ec55-4b8e-b0a4-9379593f1e1c | http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,utrzymywać sprzęt | montaż elementów drewnianych i metalowych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,przyjmować sposoby wspierania różnorodności biologicznej i dobrostanu zwierząt,released,skill/competence,transversal,,"Angażować się w zachowania pomagające utrzymać stabilne ekosystemy i przeciwdziałać masowemu wymieraniu gatunków, na przykład przez dokonywanie świadomych wyborów żywieniowych, które wspierają ekologiczną produkcję żywności i dobrostan zwierząt.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,stosować umiejętności i kompetencje związane ze środowiskiem
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,przeprowadzać studia wykonalności dotyczące systemów zarządzania budynkiem,released,skill/competence,sector-specific,,"Przeprowadzać ewaluację i ocenę potencjału systemów zarządzania budynkiem. Prowadzić znormalizowane badania w celu określenia wpływu oszczędności energii, kosztów i ograniczeń oraz prowadzić badania naukowe wspierające proces podejmowania decyzji.
	",http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,sporządzać studium wykonalności | analiza operacji biznesowych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c,przepisy w zakresie narażenia na skażenie,released,knowledge,cross-sector,,"Przepisy dotyczące narażenia na zanieczyszczone materiały lub niebezpieczne środowisko, które regulują działania w zakresie oceny ryzyka środowiska, minimalizacji dalszego narażenia, kwarantanny i leczenia osób narażonych.",http://data.europa.eu/esco/isced-f/1021,usługi sanitarne komunalne
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,usuwać materiały skażone,released,skill/competence,sector-specific,,"Usunąć materiały i sprzęt, które są zanieczyszczone substancjami niebezpiecznymi, aby chronić otoczenie przed dalszym zanieczyszczeniem oraz aby poddać je obróbce bądź zutylizować zanieczyszczone materiały.",http://data.europa.eu/esco/skill/3727f0d3-da1b-4ce3-a9cb-efe6130fe41f | http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e,oceniać zanieczyszczenie | obsługa i unieszkodliwianie materiałów niebezpiecznych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03d93bf5-3c09-489c-a0d7-a895b068041a,ratować zwierzęta,released,skill/competence,sector-specific,,"Ratowanie zwierząt znalezionych w sytuacjach, które stanowią bezpośrednie lub potencjalne zagrożenie dla ich dobrostanu.",http://data.europa.eu/esco/skill/e9eb9c23-c1f4-4ce9-83c9-2f6a211cc536,zapewnianie bezpieczeństwa fizycznego i jego egzekwowanie
