conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code,naceCode
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2654,reżyser techniczny,,,released,2024-01-25T11:28:50.295Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Reżyserzy techniczni realizują wizje artystyczne twórców w ramach ograniczeń technicznych. Koordynują działania różnych jednostek produkcyjnych, takich jak scena, garderoba, głośność, dźwięk i oświetlenie oraz makijaż. Dostosowują prototyp i analizują wykonalność, wdrażanie, funkcjonowanie i techniczne monitorowanie projektu artystycznego. Są również odpowiedzialni za sprzęt i wyposażenie techniczne.",2654.1.7,http://data.europa.eu/ux2/nace2.1/9031
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,operator ciągarki,"operator ciągarki drutu
operator maszyn do produkcji drutów i prętów
ciągacz drutu
ciągacz rur",,released,2024-01-23T10:09:32.099Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Operatorzy ciągarek ustawiają i obsługują ciągarki do wyrobów z metali żelaznych i nieżelaznych, przeznaczone do wykonywania drutów, prętów, rur, profili drążonych i tubek o określonej formie, poprzez zmniejszanie ich przekroju poprzecznego i przeciąganie materiałów roboczych przez szereg ciągadeł.",8121.4,http://data.europa.eu/ux2/nace2.1/242
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,inspektor jakości instrumentów precyzyjnych,kontroler jakości precyzyjnych instrumentów pomiarowych,,released,2024-01-25T15:00:12.188Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Inspektorzy jakości instrumentów precyzyjnych dbają o to, aby urządzenia precyzyjne, takie jak mikrometry i przyrządy pomiarowe, działały zgodnie ze specyfikacjami projektowymi. Mogą oni regulować urządzenia precyzyjne i ich elementy w przypadku jakichkolwiek usterek.",7543.10.3,http://data.europa.eu/ux2/nace2.1/2651
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,technik urządzeń ruchu lotniczego,,,released,2024-01-29T16:01:13.998Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Technicy urządzeń ruchu lotniczego udzielają wsparcia technicznego w zakresie bezpieczeństwa systemów kontroli ruchu lotniczego i systemów nawigacji lotniczej. Zajmują się projektowaniem, konserwacją, instalacją i obsługą tych systemów w porcie lotniczym, jak i na pokładzie samolotu zgodnie z przepisami.",3155.1,http://data.europa.eu/ux2/nace2.1/5223
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,menedżer ds. przychodów z hotelarstwa,"kierownik ds. przychodów
kierownik ds. przychodów z hotelarstwa
menedżer ds. przychodów",,released,2024-01-11T10:28:45.871Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Menedżerowie ds. przychodów z hotelarstwa maksymalizują dochody z obiektów, takich jak hotele, kurorty wakacyjne i pola kempingowe, analizując tendencje i konkurencję. Pomagają zarządzającym w podejmowaniu decyzji strategicznych. Menedżerowie ds. przychodów z hotelarstwa analizują i optymalizują potencjał finansowy obiektów i zarządzają personelem obiektów.",2431.9,"http://data.europa.eu/ux2/nace2.1/701,
http://data.europa.eu/ux2/nace2.1/55"
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,asystent / asystentka w laboratorium medycznym,"asystent w laboratorium medycznym
asystentka w laboratorium medycznym",,released,2024-01-24T15:38:45.842Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Asystenci / asystentki w laboratorium medycznym pracują pod nadzorem naukowca prowadzącego badania biomedyczne i wykonują podstawowe procedury laboratoryjne. Wykonują prace z próbkami przed analizą, takie jak sprawdzanie danych dotyczących próbek pobranych do analizy, obsługa analizatorów, ładowanie odczynników oraz pakowanie próbek. Wykonują również czynności biurowe, takie jak monitorowanie poziomu zapasów odczynników wykorzystywanych w analizie.",3212.2,http://data.europa.eu/ux2/nace2.1/861
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,technik diagnosta nawierzchni asfaltowych,,,released,2024-01-26T15:03:25.743Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Technicy diagności nawierzchni asfaltowych przeprowadzają kontrole asfaltu i powiązanych surowców oraz badania laboratoryjne, zapewniając wysoką jakość produktów. Biorą również udział w pracach przy rozwiązywaniu problemów technicznych na placach budowy.",3116.1.1,"http://data.europa.eu/ux2/nace2.1/712,
http://data.europa.eu/ux2/nace2.1/2399"
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,asystent nauczyciela w szkole podstawowej,asystentka nauczyciela w szkole podstawowej,,released,2023-07-04T08:19:38.994Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Asystenci nauczyciela w szkole podstawowej udzielają nauczycielom szkół podstawowych wsparcia metodycznego i praktycznego. Powtarzają wydane polecenia uczniom wymagającym dodatkowej uwagi i przygotowują materiały potrzebne nauczycielowi w klasie. Wykonują również pracę biurową, śledzą postępy w nauce i zachowania uczniów oraz nadzorują uczniów w obecności wychowawcy i pod jego nieobecność.",5312.2,http://data.europa.eu/ux2/nace2.1/852
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fizjoterapeuta,,,released,2024-01-16T10:48:48.922Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Fizjoterapeuci są niezależnymi profesjonalistami w dziedzinie zdrowia, którzy są odpowiedzialni za rozwój, utrzymanie lub odtworzenie funkcji silnika i przemieszczania się przez cały okres życia w oparciu o praktykę opartą na dowodach. Łagodzą ból i leczą lub zapobiegają stanom fizycznym związanym z uszkodzeniem ciała, chorobą lub innym upośledzeniem. Fizjoterapeuci wzmacniają pacjentów i ich opiekunów, aby poradzić sobie ze stanem poklinicznym. Działają w ramach swoich praktyk i kodeksu postępowania zawodowego. ",2264.2,http://data.europa.eu/ux2/nace2.1/8695
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,instruktor teatralny sztuk performatywnych w konserwatorium,,,released,2024-01-16T13:49:12.7Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Instruktorzy teatralni sztuk performatywnych w konserwatorium kształcą studentów w określonej teorii, a przede wszystkim prowadzą praktyczne zajęcia teatralne w specjalistycznym teatrze, lub poprzez działanie, szkołę lub konserwatoria na poziomie szkolnictwa wyższego. Przekazują oni teoretyczne instrukcje dotyczące praktycznych umiejętności i technik, które studenci muszą opanować w teatrze. Instruktorzy teatralni sztuk performatywnych w konserwatorium monitorują postępy studentów, w razie konieczności indywidualnie pomagają i oceniają ich wiedzę i wyniki praktyki teatralnej dzięki zadaniom, testom i egzaminom.",2310.1.30,"http://data.europa.eu/ux2/nace2.1/854,
http://data.europa.eu/ux2/nace2.1/853"
