conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,inżynier biocybernetyki i inżynierii biomedycznej,released,inżynier biomedyczny,"Inżynierowie biocybernetyki i inżynierii biomedycznej łączą wiedzę na temat zasad inżynieryjnych i odkryć biologicznych na potrzeby rozwoju leczenia, leków i ogólnej opieki zdrowotnej. Mogą oni opracowywać rozwiązania, począwszy od poprawy komponentów w tradycyjnych produktach leczniczych aż po procesy powstawania zagnieżdżonych zarodków, a także do leczenia tkanek.",http://data.europa.eu/esco/occupation/f9433fdb-dde1-46cf-9e91-b49d243946a7,bioinżynier
Occupation,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,kryminolog,released,,"Kryminolodzy badają uwarunkowania dotyczące ludzi, takie jak aspekty społeczne i psychologiczne, które mogły ich doprowadzić do popełnienia czynów przestępczych. Obserwują i analizują różne czynniki, począwszy od warunków behawioralnych, aż po kontekst społeczny i środowisko podejrzanych, aby doradzać organizacjom w zakresie zapobiegania przestępczości.",http://data.europa.eu/esco/isco/C2632,"Socjolodzy, antropolodzy i specjaliści w dziedzinach pokrewnych"
Occupation,http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659,wykładowca akademicki z dziedziny ekonomii,released,pracownik naukowo-dydaktyczny z dziedziny ekonomii,"Wykładowcy akademiccy z dziedziny ekonomii to profesorowie, doktorzy habilitowani, wykładowcy, asystenci, mentorzy uczący studentów w zakresie swojej wyspecjalizowanej dziedziny, ekonomii. Opracowują programy nauczania, przygotowują zajęcia (wykłady, zajęcia praktyczne, seminaria, szkolenia itp.), monitorują wyniki nauczania, nadzorują przebieg studiów. Prowadzą badania naukowe w dziedzinie ekonomii i przedstawiają swoje ustalenia na konferencjach i w publikacjach. Są oni zaangażowani w niektóre funkcje związane z zarządzaniem uniwersytetem.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,nauczyciel akademicki
Occupation,http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a,wykładowca akademicki w dziedzinie medycyny,released,pracownik naukowo-dydaktyczny w dziedzinie medycyny,"Wykładowcy akademiccy w dziedzinie medycyny są profesorami, nauczycielami i wykładowcami uczącymi studentów, którzy uzyskali dyplom ukończenia szkoły średniej, w zakresie swojej wyspecjalizowanej dziedziny studiów – medycyny, która ma głównie charakter akademicki. Współpracują ze swoimi asystentami naukowymi i dydaktycznymi w celu przygotowania wykładów i egzaminów, do klasyfikowania dokumentów i egzaminów, do prowadzenia praktyk laboratoryjnych, a także do prowadzenia regularnych przeglądów i wymiany informacji zwrotnych dla studentów. Prowadzą również badania naukowe w dziedzinie medycyny, publikują swoje ustalenia i współpracują z innymi pracownikami uczelni.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,nauczyciel akademicki
Occupation,http://data.europa.eu/esco/occupation/0c7c9606-fde3-4658-8136-8fe0c9b8bd09,inżynier sprzętu medycznego,released,specjalista inżynierii medycznej | inżynier kliniczny,"Inżynierowie sprzętu medycznego projektują i opracowują systemy medyczno-techniczne, instalacje i urządzenia, takie jak rozruszniki serca, skanery rezonansu magnetycznego i urządzenia rentgenowskie. Monitorują cały proces wytwarzania od projektu koncepcji do wdrożenia produktu. Podjęte działania obejmują między innymi projektowanie ulepszania produktów, opracowywanie metod i technik w celu oceny przydatności projektu, koordynowanie wstępnej produkcji, opracowywanie procedur przeprowadzania testów i opracowywanie schematów produkcji.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,inżynier elektronik
Occupation,http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128,historyk,released,historyk dyplomacji | historyk wojskowości | badacz historii politycznej | egiptolog | badacz historii gospodarczej | historyk sztuki,"Historycy badają, analizują, interpretują i przedstawiają przeszłość społeczeństw. Analizują dokumenty, źródła i ślady przeszłości, żeby zrozumieć przeszłość człowieka.",http://data.europa.eu/esco/isco/C2633,"Filozofowie, historycy i politolodzy"
Occupation,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,chemik,released,chemik środowiska | chemik organik | agrochemik | biochemik | chemik medyczny,"Chemicy wykonują badania laboratoryjne testując i analizując strukturę chemiczną substancji. Przekładają wyniki badań na procesy produkcji przemysłowej, które następnie są wykorzystywane do rozwoju lub ulepszenia produktów. Chemicy badają również jakość wytwarzanych produktów i ich wpływ na środowisko.",http://data.europa.eu/esco/isco/C2113,Chemicy
Occupation,http://data.europa.eu/esco/occupation/10291962-c0c7-4e5b-a7ed-0762b4d9b010,farmakolog,released,,"Farmakolodzy badają sposób interakcji leków i leków z organizmami, żywymi systemami i ich częściami (tj. komórkami, tkankami lub narządami). Ich badania mają na celu identyfikację substancji, które mogą być spożywane przez ludzi i które wywierają odpowiednie biochemiczne funkcje leczenia chorób.",http://data.europa.eu/esco/isco/C2131,"Biolodzy, botanicy, zoolodzy i specjaliści nauk pokrewnych"
Occupation,http://data.europa.eu/esco/occupation/116b4c55-5bd0-41e9-9227-98d7ecffeaf6,wykładowca akademicki w dziedzinie socjologii,released,pracownik naukowo-dydaktyczny w dziedzinie socjologii,"Wykładowcy akademiccy w dziedzinie socjologii są profesorami, nauczycielami i wykładowcami uczącymi studentów, którzy uzyskali dyplom ukończenia szkoły średniej, w zakresie swojej wyspecjalizowanej dziedziny studiów – socjologii, która ma głównie charakter akademicki. Współpracują ze swoimi asystentami naukowymi i dydaktycznymi w celu przygotowania wykładów i egzaminów, oceniania testów i egzaminów oraz prowadzenia regularnych przeglądów i wymiany informacji zwrotnych dla studentów. Prowadzą również badania naukowe w dziedzinie socjologii, publikują swoje ustalenia i współpracują z innymi pracownikami uczelni.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,nauczyciel akademicki
Occupation,http://data.europa.eu/esco/occupation/11a6d0f6-e692-4774-aa5f-193b67d31022,kinezjolog,released,,"Kinezjolodzy studiują i badają ruch ciała; jego mięśni i części. Analizują i wykorzystują dane i metody naukowe w celu poprawy ruchu ciała, ogólnie u ludzi, poprzez zrozumienie takich obszarów, jak fizjologia, kinetyka, neurologia i biologia. Uznają oni wpływ niektórych czynników, takich jak stan ciała, na opracowanie i rozwój rozwiązań mających na celu poprawę ogólnej mechaniki i mobilności.",http://data.europa.eu/esco/isco/C2269,Specjaliści ochrony zdrowia gdzie indziej niesklasyfikowani
Occupation,http://data.europa.eu/esco/occupation/11b6390b-1e48-4903-a5df-d3e04b451a19,chemik kosmetolog,released,,"Chemicy kosmetolodzy opracowują receptury w celu tworzenia i testowania nowych produktów kosmetycznych oraz ulepszania istniejących, takich jak perfumy i substancje zapachowe, szminki, wodoodporne płyny i przybory do makijażu, farby do włosów, mydła i detergenty o specjalnych właściwościach, aktualne leki lub suplementy zdrowotne.",http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,chemik
Occupation,http://data.europa.eu/esco/occupation/11d72bd6-779a-4643-9962-313833740094,sozolog,released,audytor środowiskowy,"Sozolodzy identyfikują problemy i znajdują rozwiązania służące zminimalizowaniu zagrożeń dla środowiska dzięki prowadzeniu analiz na takich próbkach, jak powietrze, woda lub gleba. Doradzają lub opracowują politykę ochrony środowiska i mają na celu poprawę zaopatrzenia w wodę oraz zarządzanie składowiskami odpadów. Sozolodzy przeprowadzają oceny ryzyka środowiskowego i analizują wpływ środowiskowy na nowe rozwiązania, obiekty budowlane lub zmiany w środowisku, zapewniając przestrzeganie przepisów środowiskowych.",http://data.europa.eu/esco/isco/C2133,Specjaliści do spraw ochrony środowiska
Occupation,http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,socjolog,released,mediator kulturowy | specjalista ds. komunikacji międzykulturowej | doradca ds. komunikacji międzykulturowej | socjolog prawa | badacz nauk o rodzinie | badacz zachowań konsumenckich | socjolog gospodarczy,"Socjolodzy koncentrują swoją działalność badawczą na objaśnianiu zachowań społecznych i na sposobie organizacji społecznej. Badają i objaśniają ewoluowanie społeczeństw poprzez opisanie ich systemów prawnych, politycznych i gospodarczych oraz ich form ekspresji kulturowej.",http://data.europa.eu/esco/isco/C2632,"Socjolodzy, antropolodzy i specjaliści w dziedzinach pokrewnych"
Occupation,http://data.europa.eu/esco/occupation/1738173e-ef9c-4222-88c8-b6aa9bad3cf7,biofizyk,released,,"Biofizycy badają istniejące związki między żywymi organizmami i fizyką. Prowadzą badania na żywych organizmach w oparciu o metody fizyki mające na celu wyjaśnienie złożoności życia, przewidywanie wzorców i wyciąganie wniosków na temat aspektów życia. Pola badawcze biofizyków obejmują DNA, białka, cząsteczki, komórki i środowiska.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biolog
Occupation,http://data.europa.eu/esco/occupation/19db5ad1-ffbf-41a0-8746-d3878f0d5dbd,medioznawca,released,badacz mediów | antropolog mediów | socjolog mediów,"Badacze mediów badają rolę i wpływ mediów na społeczeństwo. Obserwują i dokumentują korzystanie z różnych rodzajów mediów, takich jak gazety, radio i telewizja, oraz reakcję społeczeństwa.",http://data.europa.eu/esco/occupation/acf69cab-8629-45c8-ae10-c8fb15f474b6,antropolog
