conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,sporządzać projekty prac naukowych lub akademickich oraz dokumentacji technicznej,released,skill/competence,cross-sector,,"Sporządzać i redagować dokumenty naukowe, akademickie lub techniczne na różne tematy.
    ",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,pisanie techniczne lub akademickie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,zarządzać danymi badawczymi,released,skill/competence,cross-sector,,"Tworzyć i analizować dane naukowe pochodzące z jakościowych i ilościowych metod badawczych. Przechowywać i utrzymywać dane w bazach danych badawczych. Wspierać ponowne wykorzystywanie danych naukowych i znać zasady zarządzania otwartymi danymi.
    ",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,zarządzanie informacjami
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20a8fe89-d4eb-4698-8521-8881c13377e0,Prowadzić współpracę ze stronami w środowiskach badawczych i zawodowych.,released,skill/competence,cross-sector,,"Wykazywać szacunek dla innych, jak również zdolność do interakcji ze współpracownikami. Słuchać, przekazywać i przyjmować informacje zwrotne oraz odpowiadać z uwagą innym osobom, co wiąże się również z nadzorowaniem pracowników i pełnieniem roli lidera w środowisku zawodowym.
    ",http://data.europa.eu/esco/skill/91b0b918-942e-4661-b88c-70b9396529e5,współpraca z innymi osobami
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1,rozpowszechniać wyniki w środowisku naukowym,released,skill/competence,cross-sector,,"Publicznie udostępniać wyniki badań naukowych za pomocą wszelkich odpowiednich środków, takich jak konferencje, warsztaty, sympozja i publikacje naukowe.
	",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,pisanie techniczne lub akademickie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34764d-637c-48f5-aa70-31e15c965db6,tworzyć oprogramowanie open source,released,skill/competence,sector-specific,,"Obsługiwać i tworzyć oprogramowanie open source. Posiadać wiedzę na temat głównych modeli open source, programów udzielania licencji oraz praktyk kodowania powszechnie przyjętych w tworzeniu oprogramowania open source.
    ",http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7,programowanie systemów komputerowych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2de4572a-4724-4f76-afc2-72a568a264ac,posługiwać się różnymi językami w mowie,released,skill/competence,cross-sector,,"Opanowywać języki obce, aby móc komunikować się w co najmniej jednym języku obcym.",http://data.europa.eu/esco/skill/03961960-e729-4768-ab0a-49886132f17a,używanie języków obcych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/39f67488-cfd3-4370-8d7e-da98163102d9,oceniać działania związane z badaniami,released,skill/competence,cross-sector,,"Oceniać postępy, wpływ i wyniki pracy naukowców.
	",http://data.europa.eu/esco/skill/23cfb269-eec1-4011-8e57-c86203ce9fd7,udzielanie opinii zwrotnych
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,wykazywać się wiedzą specjalistyczną w danej dyscyplinie,released,skill/competence,cross-sector,,"Wykazywać się szczegółową wiedzą i złożonym zrozumieniem konkretnego obszaru badań, w tym odpowiedzialnych badań, etyki badawczej i zasad integralności naukowej, prywatności i wymogów RODO, związanych z działalnością badawczą w ramach konkretnej dyscypliny.
    ",http://data.europa.eu/esco/skill/8fde007e-ea4c-48c2-84c5-752834acd31d,"przeprowadzanie badań, postępowań wyjaśniających i kontroli"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,myśleć analitycznie,released,skill/competence,transversal,myślenie logiczne | myślenie analityczne | myśleć logicznie | wskazywać silne i mocne strony,"Tworzyć myśli przy użyciu logiki i rozumowania, aby zidentyfikować mocne i słabe strony alternatywnych rozwiązań, wniosków lub podejść do problemów.",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"przetwarzać informacje, idee i koncepcje"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4cd85845-f31c-4306-994d-e12d45114d83,nauczać w kontekście akademickim lub zawodowym,released,skill/competence,cross-sector,,"Nauczać studentów w zakresie teorii i praktyki przedmiotów akademickich lub zawodowych, przekazywać treści własnych i cudzych prac badawczych.
    ",http://data.europa.eu/esco/skill/335be43a-3267-400e-b5cb-c9e234dc7544,nauczanie przedmiotów akademickich lub związanych ze szkoleniem zawodowym
