lightcast_id,lightcast_label,similarity,esco_code,esco_label,esco_group,esco_description
KS1201K6P46HG0XKD41J,3D Reconstruction,0.676224,0619.5,image recognition,digital_knowledge,"A process designed to detect and identify a feature or object in an image or video. This process is used in medical imaging, security surveillance or defect detection, among other fields. Key technique for a wide range of applications such as automated driving, image classification, or visual inspection."
KSZL61W5WB9CRWALSETH,Activity Recognition,0.696211,0619.5,image recognition,digital_knowledge,"A process designed to detect and identify a feature or object in an image or video. This process is used in medical imaging, security surveillance or defect detection, among other fields. Key technique for a wide range of applications such as automated driving, image classification, or visual inspection."
KSEJZFLTMFCZ2ZK59YNU,AdaBoost (Adaptive Boosting),0.694049,0619.12.1,machine learning,digital_knowledge,"The principles, methods and algorithms of machine learning, a subfield of artificial intelligence. Common machine learning models such as supervised or unsupervised models, semi- supervised models and reinforcement learning models."
ES81D2EA8C54BE9D647B,Adversarial Machine Learning,0.704242,0619.12.1,machine learning,digital_knowledge,"The principles, methods and algorithms of machine learning, a subfield of artificial intelligence. Common machine learning models such as supervised or unsupervised models, semi- supervised models and reinforcement learning models."
KSXDCSEQS48D0MW9RVAQ,Aforge,0.762901,0619.14,computer vision,digital_knowledge,"The definition and functioning of computer vision. Computer vision tools to allow computers to extract information from digital images such as photographs or video. Areas of application to solve real-world problems like security, autonomous driving, robotic manufacturing and inspection, digital image classification, medical image processing and diagnosis, and others."
LCS213MG05MZ3QX08576,Agent Orchestration Frameworks,0.676301,0619.12,principles of artificial intelligence,digital_knowledge,"The artificial intelligence theories, applied principles, architectures and systems, such as intelligent agents, multi-agent systems, expert systems, rule-based systems, neural networks, ontologies and cognition theories."
ESE44C2D33805C8B83E0,AgentGPT,0.643073,0619.12,principles of artificial intelligence,digital_knowledge,"The artificial intelligence theories, applied principles, architectures and systems, such as intelligent agents, multi-agent systems, expert systems, rule-based systems, neural networks, ontologies and cognition theories."
ES3810A544952569CB64,Agentic AI,0.740547,0619.12,principles of artificial intelligence,digital_knowledge,"The artificial intelligence theories, applied principles, architectures and systems, such as intelligent agents, multi-agent systems, expert systems, rule-based systems, neural networks, ontologies and cognition theories."
ES852186EE721E4A4C95,Agentic Systems,0.715152,0619.12,principles of artificial intelligence,digital_knowledge,"The artificial intelligence theories, applied principles, architectures and systems, such as intelligent agents, multi-agent systems, expert systems, rule-based systems, neural networks, ontologies and cognition theories."
LCSV63BJYU9JR83GHQIG,AI Agent Monitoring,0.629828,0619.12,principles of artificial intelligence,digital_knowledge,"The artificial intelligence theories, applied principles, architectures and systems, such as intelligent agents, multi-agent systems, expert systems, rule-based systems, neural networks, ontologies and cognition theories."
LCSPI0QTQRPRG8NQ6F1U,AI Agent Observability,0.661661,0619.12,principles of artificial intelligence,digital_knowledge,"The artificial intelligence theories, applied principles, architectures and systems, such as intelligent agents, multi-agent systems, expert systems, rule-based systems, neural networks, ontologies and cognition theories."
ESF93F19C2FF1A7D10CD,AI Agents,0.738083,0619.12,principles of artificial intelligence,digital_knowledge,"The artificial intelligence theories, applied principles, architectures and systems, such as intelligent agents, multi-agent systems, expert systems, rule-based systems, neural networks, ontologies and cognition theories."
ES1519C181ED1D93B024,AI Algorithms,0.836597,0619.12.1,machine learning,digital_knowledge,"The principles, methods and algorithms of machine learning, a subfield of artificial intelligence. Common machine learning models such as supervised or unsupervised models, semi- supervised models and reinforcement learning models."
ES27B3A69C60C8A20AE3,AI Alignment,0.673009,T6.6.2.0.3,data ethics,digital_knowledge,"The subfield of ethics that assess whether data practices are considerable ethical. It assesses processes such as collecting, analysing and disseminating structured and unstructured data that might negatively impact the society."
ES8CD1A386C8241A81D1,AI Assisted Content Generation,0.66194,S5.1.0.29,utilise machine learning,s5_skill,"Use techniques and algorithms that are able to extract mastery out of data, learn from it and make predictions, to be used for program optimisation, application adaptation, pattern recognition, filtering, search engines and computer vision."
