column,missing_percent
id_kwalifikacji_kkz,99.89
id_kwalifikacji_zrk,99.43
cena_netto_za_usluge,92.94
cena_brutto_za_usluge,92.94
cel_biznesowy,86.48
warunki_techniczne,82.73
efekt_uslugi,75.21
warunki_uczestnictwa,45.24
efekty_uczenia_sie,31.91
adres,19.81
informacje_dodatkowe,16.04
cena_netto_za_uczestnika,7.06
cena_brutto_za_uczestnika,7.06
maksymalna_liczba_uczestnikow,3.07
id_podrodzaju_uslugi,2.79
cel_edukacyjny,2.78
data_zakonczenia_rekrutacji,2.17
grupa_docelowa,1.43
liczba_godzin,0.25
program_uslugi,0.2
osoba_kontaktowa,0.0
ocena,0.0
lista_projektow,0.0
dostawca_uslug,0.0
warunki_logistyczne,0.0
formy_dofinansowania,0.0
kwalifikacje_kuz,0.0
inne_kwalifikacje,0.0
scraped_at,0.0
minimalna_liczba_uczestnikow,0.0
id,0.0
czy_cena_dotyczy_calej_uslugi,0.0
cena_netto_za_godzine,0.0
cena_brutto_za_godzine,0.0
numer,0.0
id_formy_swiadczenia,0.0
id_rodzaju_uslugi,0.0
id_podkategorii_uslugi,0.0
id_kategorii_uslugi,0.0
data_zakonczenia_uslugi,0.0
data_rozpoczecia_uslugi,0.0
status,0.0
tytul,0.0
updated_at,0.0
