Skill,Type,Job Offers,Percentage
have computer literacy,skill/competence,1114,27.85
driving examinations,knowledge,846,21.15
teamwork principles,knowledge,801,20.03
own management skills,skill/competence,711,17.77
work in an international environment,skill/competence,652,16.3
communicate commercial and technical issues in foreign langu,skill/competence,585,14.62
work with broad variety of personalities,skill/competence,433,10.82
demonstrate willingness to learn,skill/competence,415,10.38
provide high quality customer service,skill/competence,392,9.8
understand written English,skill/competence,388,9.7
attend to detail,skill/competence,374,9.35
business knowledge,knowledge,366,9.15
