year,Business,Computer Science and Telecommunications,Driver's license,Ecology and agriculture,Finance and Banking,Health and medicine,Languages,Law and administration,Lifestyle,Other,Technical,Transport and automotive
2016,6102,3116,23,147,3955,2949,42,2851,67,251,923,337
2017,11381,12857,1240,348,8745,7969,2780,6400,892,956,3997,747
2018,15047,16335,5531,490,9998,19410,7481,10134,6046,2480,7781,1330
2019,20682,15471,10890,755,11564,29718,6329,9185,7772,3830,9066,1804
2020,32011,8629,13282,766,6593,21433,4765,6323,1974,10704,8229,795
2021,18413,7253,14880,967,4275,14394,6976,2924,2723,6163,8026,1000
2022,17686,7061,7362,971,4058,13049,5047,3300,2757,4189,7116,826
2023,15754,5546,7362,819,4071,11231,3437,3180,2849,4497,6544,639
2024,13009,7349,8425,1688,4067,12732,16308,4062,3584,6484,8934,745
2025,16377,9414,20497,2048,4882,18136,18507,4899,12075,9266,13237,1615
