wojewodztwo,2019,2025,Difference,Change %
Śląskie,28,175,147,525.0
Pomorskie,1,136,135,13500.0
Kujawsko-pomorskie,5,96,91,1820.0
Małopolskie,11,95,84,763.6
Świętokrzyskie,2,84,82,4100.0
Mazowieckie regionalny,14,87,73,521.4
Warmińsko-mazurskie,3,72,69,2300.0
Wielkopolskie,2,70,68,3400.0
Podkarpackie,0,56,56,
Lubelskie,1,54,53,5300.0
Mazowieckie,0,33,33,
Dolnośląskie,8,33,25,312.5
Podlaskie,2,26,24,1200.0
Łódzkie,6,24,18,300.0
Zachodniopomorskie,7,17,10,142.9
Opolskie,1,5,4,400.0
Lubuskie,0,3,3,
